id,nome,data_inicio,data_termino_planejada,data_termino_real,orcamento_inicial,gerente,status,percentual_conclusao,spi,cpi,mudanca_escopo
PROJ-0001,A certeza de realizar seus sonhos simplesmente,19/10/2024,11/10/2025,04/10/2025,2357113,João Guilherme da Cruz,Em andamento,66.65505224178389,1.0530098462268733,0.9135853456305207,Não
PROJ-0002,O prazer de inovar naturalmente,21/11/2024,23/09/2025,13/01/2026,1737377,Ian Andrade,Atrasado,59.5299557769982,0.7851795891276487,0.667746333100956,Não
PROJ-0003,A simplicidade de avançar antes de tudo,03/11/2023,20/02/2024,18/02/2024,1816889,João Montenegro,Em andamento,99.9,1.105873844617569,0.9302335519573345,Não
PROJ-0004,O direito de concretizar seus projetos simplesmente,26/07/2023,19/11/2023,21/11/2023,2430572,Heloísa Pastor,Concluído,100.0,1.0428891208043565,0.9384899298633147,Sim
PROJ-0005,O direito de ganhar mais rapidamente,02/04/2025,19/07/2025,09/08/2025,4022518,Enzo Garcia,Em andamento,98.86884609703374,0.9895101950305661,0.8481024660981225,Não
PROJ-0006,A arte de realizar seus sonhos mais facilmente,17/07/2023,02/04/2024,30/07/2024,2544378,Beatriz Barbosa,Atrasado,84.40666663304721,0.8440666663304721,0.8675358457365802,Sim
PROJ-0007,A certeza de evoluir com força total,19/05/2024,27/11/2024,25/05/2025,3247998,Leandro Fonseca,Atrasado,65.4431500996393,0.654431500996393,0.7162313924959591,Não
PROJ-0008,A liberdade de avançar com toda a tranquilidade,12/06/2025,16/01/2026,23/01/2026,2249169,Arthur Miguel Caldeira,Concluído,100.0,1.0457823901701255,1.0499677558110476,Não
PROJ-0009,O conforto de concretizar seus projetos direto da fonte,21/07/2024,28/12/2024,12/01/2025,1330428,Lívia Borges,Em andamento,99.9,1.0995315665424563,1.2094043427966175,Não
PROJ-0010,A vantagem de conseguir mais rapidamente,01/08/2024,20/06/2025,30/06/2025,3553870,Luiza Sá,Em andamento,91.58060822343033,0.9474304538336541,1.2370991839254946,Não
PROJ-0011,A segurança de atingir seus objetivos sem preocupação,22/10/2024,14/04/2025,04/06/2025,4268687,Ravi Cirino,Atrasado,71.09839153845931,0.7109839153845932,0.7100025630728011,Não
PROJ-0012,A possibilidade de ganhar antes de tudo,26/09/2023,09/06/2024,16/06/2024,405300,Dr. Eduardo Lopes,Em andamento,99.9,0.9804821512279406,0.9560772445469107,Não
PROJ-0013,O direito de avançar com força total,05/12/2024,22/08/2025,31/08/2025,862115,Leandro da Cunha,Em andamento,68.77414670960974,0.975440423000463,0.8728550916120426,Sim
PROJ-0014,O direito de avançar sem preocupação,12/10/2024,25/02/2025,15/02/2025,4152055,Dom Cassiano,Concluído,100.0,1.034073138535433,1.0081444265335595,Não
PROJ-0015,A possibilidade de ganhar com força total,24/11/2024,13/08/2025,01/08/2025,3534833,Sra. Júlia Montenegro,Em andamento,85.89417571572818,1.0518303136682108,0.9770215478499926,Sim
PROJ-0016,A vantagem de atingir seus objetivos simplesmente,13/01/2025,06/07/2025,10/07/2025,4526581,Melina Teixeira,Em andamento,99.9,1.003844962007132,1.1054308534984794,Não
PROJ-0017,A simplicidade de realizar seus sonhos naturalmente,26/03/2025,09/09/2025,14/09/2025,1344168,Ana Clara Dias,Em andamento,70.21391998095704,0.8774561286088717,1.059007819047497,Não
PROJ-0018,A vantagem de inovar direto da fonte,27/08/2024,30/10/2024,05/11/2024,1015405,Enzo Gabriel Cavalcanti,Em andamento,80.90340460812449,1.0531417998672652,0.9441194870409114,Não
PROJ-0019,O prazer de evoluir de maneira eficaz,12/01/2025,10/07/2025,27/07/2025,2292636,Cecilia Pires,Em andamento,99.9,1.053789794776993,0.8373839542784375,Não
PROJ-0020,A vantagem de conseguir com toda a tranquilidade,31/05/2025,27/07/2025,03/09/2025,2057738,Thales Camargo,Atrasado,50.203787029946625,0.6979550879773068,0.8924261665143469,Não
PROJ-0021,A possibilidade de atingir seus objetivos mais rapidamente,28/03/2025,04/02/2026,25/02/2026,3144719,Davi Lucca Nogueira,Em andamento,29.529772666141906,1.0718727960200254,0.8978249309173968,Não
PROJ-0022,O prazer de inovar com força total,08/02/2025,20/06/2025,05/06/2025,4460848,Yuri Silveira,Concluído,100.0,1.0703252124156692,0.9502977589317384,Não
PROJ-0023,O conforto de evoluir naturalmente,23/12/2023,01/06/2024,01/10/2024,60747,Amanda Pereira,Atrasado,51.92589830933127,0.5192589830933126,0.7319078345157832,Sim
PROJ-0024,A possibilidade de realizar seus sonhos simplesmente,02/08/2024,03/02/2025,03/03/2025,4174000,Theodoro Novais,Em andamento,99.9,1.1106700075297595,1.1914875987540223,Não
PROJ-0025,A arte de avançar em estado puro,02/05/2025,02/05/2026,13/05/2026,2529711,Dr. Diogo da Costa,Em andamento,17.332585105735806,1.0710196287229337,1.0396744361752734,Não
PROJ-0026,A liberdade de realizar seus sonhos mais rapidamente,24/10/2024,08/03/2025,25/02/2025,128052,Josué Santos,Concluído,100.0,0.9651469770772192,1.0326859748637494,Não
PROJ-0027,O poder de avançar simplesmente,24/10/2024,28/11/2024,30/11/2024,1366402,Sophia Fonseca,Concluído,100.0,1.07778067271691,0.8775484435292954,Sim
PROJ-0028,O conforto de inovar naturalmente,26/02/2025,10/07/2025,12/11/2025,321005,Sr. Oliver Aragão,Atrasado,64.34729749382323,0.6434729749382323,0.951257559630033,Sim
PROJ-0029,A arte de inovar em estado puro,12/07/2023,04/10/2023,07/10/2023,2577912,Sr. Oliver Cirino,Em andamento,99.9,0.9813028448404675,0.904069463677292,Não
PROJ-0030,A segurança de evoluir com força total,26/04/2024,08/08/2024,28/08/2024,4105920,Olívia da Cunha,Atrasado,87.56701033079491,0.8756701033079491,0.9013803714070475,Não
PROJ-0031,O direito de evoluir com confiança,17/11/2024,15/11/2025,09/12/2025,2241967,Ana Beatriz Cardoso,Concluído,100.0,1.0347005356464283,0.9857636444732463,Não
PROJ-0032,A simplicidade de ganhar em estado puro,30/05/2024,21/12/2024,28/12/2024,1547246,Liam Rios,Em andamento,99.06221816357159,1.022113785749098,1.1268539449555564,Sim
PROJ-0033,A certeza de concretizar seus projetos mais rapidamente,24/04/2025,17/09/2025,10/10/2025,2494074,José Costa,Em andamento,57.9215922846836,0.9313744304054047,0.9453067115568042,Não
PROJ-0034,A certeza de realizar seus sonhos de maneira eficaz,24/11/2024,02/01/2025,24/12/2024,4537659,Pedro Lucas Leão,Em andamento,80.8852354246192,0.8875117608499435,1.0954752528134042,Não
PROJ-0035,A possibilidade de realizar seus sonhos em estado puro,20/03/2025,28/08/2025,17/08/2025,1901556,Catarina da Luz,Em andamento,73.16093404677437,1.1263105628089711,1.2418743479417134,Não
PROJ-0036,O poder de realizar seus sonhos com força total,02/07/2024,07/10/2024,25/09/2024,4041758,Letícia Melo,Em andamento,99.9,0.9287673929745234,0.9811030121578549,Sim
PROJ-0037,O conforto de avançar com força total,12/05/2025,28/08/2025,03/09/2025,2670456,Dra. Ana Liz Santos,Em andamento,64.66078652364826,0.8895316396804689,1.0207543092479188,Não
PROJ-0038,A certeza de concretizar seus projetos direto da fonte,01/01/2025,13/08/2025,03/09/2025,1483487,Joaquim Aragão,Em andamento,99.32862156339773,1.1088017437236526,0.8706841135405042,Não
PROJ-0039,O conforto de atingir seus objetivos direto da fonte,10/08/2024,08/04/2025,03/07/2025,519948,Catarina Montenegro,Atrasado,83.40422943862475,0.8340422943862476,0.7797445323075283,Não
PROJ-0040,A segurança de atingir seus objetivos antes de tudo,11/07/2024,05/07/2025,10/09/2025,3954029,Sra. Bárbara Porto,Atrasado,68.82183499088711,0.6882183499088711,0.9329569295929974,Não
PROJ-0041,A segurança de atingir seus objetivos com força total,03/12/2024,22/08/2025,13/09/2025,4680931,Ana Liz Azevedo,Concluído,100.0,1.003296084581771,1.0203891018502023,Não
PROJ-0042,O poder de realizar seus sonhos em estado puro,20/01/2025,22/05/2025,11/05/2025,138734,Isaque Costela,Em andamento,99.9,0.8793096278427487,1.2425685633444763,Sim
PROJ-0043,O direito de realizar seus sonhos direto da fonte,16/10/2023,03/10/2024,24/09/2024,2628132,José Miguel Costela,Em andamento,99.9,0.9012068163648668,1.017838808695195,Sim
PROJ-0044,A liberdade de mudar mais rapidamente,29/03/2024,06/03/2025,20/03/2025,3299162,Luiz Miguel Moraes,Em andamento,94.93940327656406,1.0396063350705582,0.919178064050894,Sim
PROJ-0045,O prazer de ganhar naturalmente,08/12/2024,06/06/2025,21/06/2025,4591885,Henrique Montenegro,Em andamento,99.9,0.9831580156185684,1.0653256645914337,Não
PROJ-0046,O prazer de atingir seus objetivos simplesmente,10/06/2024,12/02/2025,22/07/2025,3524509,Henry Gabriel da Rosa,Atrasado,55.582707475278234,0.5558270747527824,0.7698419920850895,Não
PROJ-0047,O conforto de atingir seus objetivos sem preocupação,14/03/2025,29/04/2025,06/09/2025,4357375,Dr. Luan Alves,Atrasado,73.72704686500586,0.7372704686500586,0.9438760814395618,Não
PROJ-0048,O poder de evoluir com toda a tranquilidade,20/08/2024,16/01/2025,23/06/2025,4236839,Maria Luísa Caldeira,Atrasado,61.140733291154206,0.611407332911542,0.7711140758074584,Não
PROJ-0049,A liberdade de ganhar mais facilmente,01/03/2024,25/08/2024,04/09/2024,2544103,Srta. Pietra Dias,Em andamento,99.9,1.0373716870163858,0.891391752263566,Não
PROJ-0050,A possibilidade de evoluir antes de tudo,25/10/2024,02/09/2025,30/09/2025,3093849,Murilo Sá,Em andamento,96.39970366138375,1.1100858805396747,1.1781039843667451,Sim
PROJ-0051,A vantagem de conseguir antes de tudo,22/08/2024,06/06/2025,01/06/2025,2587615,Isabel Guerra,Concluído,100.0,0.9698357380569627,0.9358872249183153,Não
PROJ-0052,A arte de inovar com toda a tranquilidade,04/06/2025,11/11/2025,13/10/2025,4273199,Catarina Correia,Concluído,100.0,1.0492367485123266,1.1826283302609075,Sim
PROJ-0053,A simplicidade de concretizar seus projetos com toda a tranquilidade,01/09/2024,09/08/2025,31/08/2025,904531,Aylla Carvalho,Concluído,100.0,1.0260958590791498,0.9756200870868954,Não
